id,display_name,works_count,h_index,country_code,works_api_url
https://openalex.org/A5105369812,Shan Wang‐Gohrke,191,51,CA,https://api.openalex.org/works?filter=author.id:A5105369812
https://openalex.org/A5100329996,Xi Chen,2091,102,CN,https://api.openalex.org/works?filter=author.id:A5100329996
https://openalex.org/A5100672274,Yifang Wang,97,25,AU,https://api.openalex.org/works?filter=author.id:A5100672274
https://openalex.org/A5051075106,Lasse Mohr,2,1,,https://api.openalex.org/works?filter=author.id:A5051075106
https://openalex.org/A5110117708,Qing Ke,93,22,CN,https://api.openalex.org/works?filter=author.id:A5110117708
https://openalex.org/A5010287399,Inho Hong,37,6,KR,https://api.openalex.org/works?filter=author.id:A5010287399
https://openalex.org/A5056995985,Felix Werner,162,30,FR,https://api.openalex.org/works?filter=author.id:A5056995985
https://openalex.org/A5069671758,Ivano Bison,42,12,IT,https://api.openalex.org/works?filter=author.id:A5069671758
https://openalex.org/A5065212478,Huilian Sophie Qiu,21,6,US,https://api.openalex.org/works?filter=author.id:A5065212478
https://openalex.org/A5070324886,Anthony G. Cusimano,2,2,US,https://api.openalex.org/works?filter=author.id:A5070324886
https://openalex.org/A5087662609,Charles Yang,100,34,US,https://api.openalex.org/works?filter=author.id:A5087662609
https://openalex.org/A5038897083,Andrés Abeliuk,75,14,US,https://api.openalex.org/works?filter=author.id:A5038897083
https://openalex.org/A5051257652,Siddharth Suri,100,37,ES,https://api.openalex.org/works?filter=author.id:A5051257652
https://openalex.org/A5050716607,Zachary Horne,77,14,NL,https://api.openalex.org/works?filter=author.id:A5050716607
https://openalex.org/A5082332656,Abdul Basit Adeel,9,4,US,https://api.openalex.org/works?filter=author.id:A5082332656
https://openalex.org/A5048274255,Yuki Sasamoto,16,4,JP,https://api.openalex.org/works?filter=author.id:A5048274255
https://openalex.org/A5005442951,Shanglin Yang,59,9,CN,https://api.openalex.org/works?filter=author.id:A5005442951
https://openalex.org/A5086308811,Mauro Martinelli,37,10,BR,https://api.openalex.org/works?filter=author.id:A5086308811
https://openalex.org/A5113978728,New York,3413,10,US,https://api.openalex.org/works?filter=author.id:A5113978728
https://openalex.org/A5102962995,Munmun De Choudhury,276,60,CA,https://api.openalex.org/works?filter=author.id:A5102962995
https://openalex.org/A5021090586,Michael Lees,225,28,NL,https://api.openalex.org/works?filter=author.id:A5021090586
https://openalex.org/A5061970875,Sam Zhang,644,68,US,https://api.openalex.org/works?filter=author.id:A5061970875
https://openalex.org/A5034863610,Stefan Kitzler,12,2,AT,https://api.openalex.org/works?filter=author.id:A5034863610
https://openalex.org/A5079709359,Juho Kim,307,28,KR,https://api.openalex.org/works?filter=author.id:A5079709359
https://openalex.org/A5093912704,Tobias Kamelski,3,1,,https://api.openalex.org/works?filter=author.id:A5093912704
https://openalex.org/A5093285904,Leon Assaad,1,1,,https://api.openalex.org/works?filter=author.id:A5093285904
https://openalex.org/A5012681383,Mila Oiva,41,5,FI,https://api.openalex.org/works?filter=author.id:A5012681383
https://openalex.org/A5102845677,Kenji Yokotani,30,6,CH,https://api.openalex.org/works?filter=author.id:A5102845677
https://openalex.org/A5083807006,Sangyeon Kim,41,9,KR,https://api.openalex.org/works?filter=author.id:A5083807006
https://openalex.org/A5027872607,Vasileios Maltezos,2,1,FI,https://api.openalex.org/works?filter=author.id:A5027872607
https://openalex.org/A5072186861,Carolina Coimbra Vieira,21,4,BR,https://api.openalex.org/works?filter=author.id:A5072186861
https://openalex.org/A5010646067,Sharath Chandra Guntuku,170,32,IN,https://api.openalex.org/works?filter=author.id:A5010646067
https://openalex.org/A5002397457,M.T. Van Koevering,12,8,US,https://api.openalex.org/works?filter=author.id:A5002397457
https://openalex.org/A5026128402,Zituo Wang,7,4,US,https://api.openalex.org/works?filter=author.id:A5026128402
https://openalex.org/A5061868864,Marco Tonin,2,0,IT,https://api.openalex.org/works?filter=author.id:A5061868864
https://openalex.org/A5046927655,Fabian Baumann,56,15,DE,https://api.openalex.org/works?filter=author.id:A5046927655
https://openalex.org/A5065954205,Hamed Alhoori,81,14,US,https://api.openalex.org/works?filter=author.id:A5065954205
https://openalex.org/A5100393445,Yixin Chen,304,45,US,https://api.openalex.org/works?filter=author.id:A5100393445
https://openalex.org/A5061923992,Haewoon Kwak,207,38,QA,https://api.openalex.org/works?filter=author.id:A5061923992
https://openalex.org/A5024795472,Éric Gilbert,206,56,ES,https://api.openalex.org/works?filter=author.id:A5024795472
https://openalex.org/A5100600513,Pu Yan,41,25,CH,https://api.openalex.org/works?filter=author.id:A5100600513
https://openalex.org/A5083062158,H. Harald Freudenthaler,48,24,,https://api.openalex.org/works?filter=author.id:A5083062158
https://openalex.org/A5058051316,Oleg Urminsky,168,18,US,https://api.openalex.org/works?filter=author.id:A5058051316
https://openalex.org/A5070072188,Saumya Tripathi,15,4,US,https://api.openalex.org/works?filter=author.id:A5070072188
https://openalex.org/A5077712228,Simon A. Levin,992,141,CA,https://api.openalex.org/works?filter=author.id:A5077712228
https://openalex.org/A5050856273,Feyza Burak Boston University,1,1,US,https://api.openalex.org/works?filter=author.id:A5050856273
https://openalex.org/A5018646665,Hope Schroeder,7,2,US,https://api.openalex.org/works?filter=author.id:A5018646665
https://openalex.org/A5055036876,Yun‐Shiuan Chuang,48,11,US,https://api.openalex.org/works?filter=author.id:A5055036876
https://openalex.org/A5100728603,Zhen Guo,64,34,US,https://api.openalex.org/works?filter=author.id:A5100728603
https://openalex.org/A5072892617,Alan J. Wein editor-in-chief,2,1,,https://api.openalex.org/works?filter=author.id:A5072892617
https://openalex.org/A5110823458,Taichi Murayama,20,9,JP,https://api.openalex.org/works?filter=author.id:A5110823458
https://openalex.org/A5060198927,Yi Yu,306,65,SS,https://api.openalex.org/works?filter=author.id:A5060198927
https://openalex.org/A5017437256,Frank Mangold,31,7,DE,https://api.openalex.org/works?filter=author.id:A5017437256
https://openalex.org/A5010281475,Lindsay C. Page,147,27,US,https://api.openalex.org/works?filter=author.id:A5010281475
https://openalex.org/A5067094699,Kimitaka Asatani,52,7,JP,https://api.openalex.org/works?filter=author.id:A5067094699
https://openalex.org/A5086624931,Ege Otenen,9,3,TR,https://api.openalex.org/works?filter=author.id:A5086624931
https://openalex.org/A5070019023,Mengyi Sun,34,11,CN,https://api.openalex.org/works?filter=author.id:A5070019023
https://openalex.org/A5061836283,Lucas Gautheron,14,4,FR,https://api.openalex.org/works?filter=author.id:A5061836283
